"confCase","confCaseRate","createDt","criticalRate","death","deathRate","gubun","seq","updateDt"
"1927","3.39",2020-12-27,"0","0","0.00","0-9","5697","null"
"3544","6.23",2020-12-27,"0","0","0.00","10-19","5696","null"
"9281","16.32",2020-12-27,"0","0","0.00","20-29","5695","null"
"7226","12.71",2020-12-27,"0.04","3","0.37","30-39","5694","null"
"8033","14.12",2020-12-27,"0.09","7","0.87","40-49","5693","null"
"10648","18.72",2020-12-27,"0.28","30","3.71","50-59","5692","null"
"8939","15.72",2020-12-27,"1.05","94","11.63","60-69","5691","null"
"4472","7.86",2020-12-27,"5.28","236","29.21","70-79","5690","null"
"2802","4.93",2020-12-27,"15.63","438","54.21","80 이상","5689","null"
"29301","51.52",2020-12-27,"1.35","397","49.13","여성","5688","null"
"27571","48.48",2020-12-27,"1.49","411","50.87","남성","5687","null"
"1891","3.38",2020-12-26,"0","0","0.00","0-9","5675","null"
"3483","6.23",2020-12-26,"0","0","0.00","10-19","5674","null"
"9170","16.4",2020-12-26,"0","0","0.00","20-29","5673","null"
"7095","12.69",2020-12-26,"0.04","3","0.38","30-39","5672","null"
"7874","14.09",2020-12-26,"0.09","7","0.88","40-49","5671","null"
"10457","18.71",2020-12-26,"0.29","30","3.78","50-59","5670","null"
"8760","15.67",2020-12-26,"1.05","92","11.60","60-69","5669","null"
"4411","7.89",2020-12-26,"5.3","234","29.51","70-79","5668","null"
"2761","4.94",2020-12-26,"15.47","427","53.85","80 이상","5667","null"
"28802","51.52",2020-12-26,"1.35","389","49.05","여성","5666","null"
"27100","48.48",2020-12-26,"1.49","404","50.95","남성","5665","null"
"1844","3.37",2020-12-25,"0","0","0.00","0-9","5653","null"
"3403","6.21",2020-12-25,"0","0","0.00","10-19","5652","null"
"9042","16.51",2020-12-25,"0","0","0.00","20-29","5651","null"
"6948","12.69",2020-12-25,"0.04","3","0.39","30-39","5650","null"
"7695","14.05",2020-12-25,"0.09","7","0.91","40-49","5649","null"
"10248","18.71",2020-12-25,"0.29","30","3.88","50-59","5648","null"
"8589","15.68",2020-12-25,"1.05","90","11.64","60-69","5647","null"
"4321","7.89",2020-12-25,"5.25","227","29.37","70-79","5646","null"
"2680","4.89",2020-12-25,"15.52","416","53.82","80 이상","5645","null"
"28235","51.55",2020-12-25,"1.36","383","49.55","여성","5644","null"
"26535","48.45",2020-12-25,"1.47","390","50.45","남성","5643","null"
"1797","3.36",2020-12-24,"0","0","0.00","0-9","5631","null"
"3337","6.23",2020-12-24,"0","0","0.00","10-19","5630","null"
"8886","16.6",2020-12-24,"0","0","0.00","20-29","5629","null"
"6778","12.66",2020-12-24,"0.04","3","0.40","30-39","5628","null"
"7499","14.01",2020-12-24,"0.08","6","0.79","40-49","5627","null"
"10010","18.7",2020-12-24,"0.29","29","3.84","50-59","5626","null"
"8375","15.64",2020-12-24,"1.07","90","11.90","60-69","5625","null"
"4235","7.91",2020-12-24,"5.29","224","29.63","70-79","5624","null"
"2616","4.89",2020-12-24,"15.44","404","53.44","80 이상","5623","null"
"27768","51.87",2020-12-24,"1.35","376","49.74","여성","5622","null"
"25765","48.13",2020-12-24,"1.47","380","50.26","남성","5621","null"
"1715","3.33",2020-12-22,"0","0","0.00","0-9","5587","null"
"3206","6.23",2020-12-22,"0","0","0.00","10-19","5586","null"
"8657","16.82",2020-12-22,"0","0","0.00","20-29","5585","null"
"6518","12.67",2020-12-22,"0.06","4","0.55","30-39","5584","null"
"7223","14.04",2020-12-22,"0.08","6","0.83","40-49","5583","null"
"9582","18.62",2020-12-22,"0.3","29","4.02","50-59","5582","null"
"8015","15.58",2020-12-22,"1.1","88","12.19","60-69","5581","null"
"4065","7.9",2020-12-22,"5.19","211","29.22","70-79","5580","null"
"2479","4.82",2020-12-22,"15.49","384","53.19","80 이상","5579","null"
"26708","51.9",2020-12-22,"1.34","357","49.45","여성","5578","null"
"24752","48.1",2020-12-22,"1.47","365","50.55","남성","5577","null"
"1684","3.33",2020-12-21,"0","0","0.00","0-9","5565","null"
"3150","6.23",2020-12-21,"0","0","0.00","10-19","5564","null"
"8552","16.9",2020-12-21,"0","0","0.00","20-29","5563","null"
"6414","12.68",2020-12-21,"0.05","3","0.43","30-39","5562","null"
"7099","14.03",2020-12-21,"0.08","6","0.86","40-49","5561","null"
"9402","18.58",2020-12-21,"0.31","29","4.15","50-59","5560","null"
"7883","15.58",2020-12-21,"1.07","84","12.03","60-69","5559","null"
"3979","7.87",2020-12-21,"5.13","204","29.23","70-79","5558","null"
"2428","4.8",2020-12-21,"15.32","372","53.30","80 이상","5557","null"
"26262","51.91",2020-12-21,"1.29","340","48.71","여성","5556","null"
"24329","48.09",2020-12-21,"1.47","358","51.29","남성","5555","null"
"1638","3.3",2020-12-20,"0","0","0.00","0-9","5543","null"
"3105","6.25",2020-12-20,"0","0","0.00","10-19","5542","null"
"8455","17.02",2020-12-20,"0","0","0.00","20-29","5541","null"
